Name	Set	ImageFile	Energy	Attack	Counter	Class	Type	Weapon Rank	Equipment	Leadership	Constitution	Relationships	Skills/Abilities	Emblem Powers	Special Abilities	Use Timing	Effect	Nation	Rom. Name	Script
Sigurd (Lv1)	S1	fe001.png	6	3	2	Knight Lord	Male/Sword/Direct/Cavalry	Sword S / Lance B	Steel Sword	1		Sister: Ethlyn / Child: Seliph	Pursuit		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square. / [Re-movement]: After an action, the unit can move again by spending 1 energy chip.			House Chalphy	Siglud	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Arvis (Lv1)	S1	fe002.png	6	3	2	Emperor	Male/Fire/Magic/Infantry	Fire S / Thunder A / Wind A	Elfire	1		Brother: Azelle / Child: Julia, Julius	Pavise, Nihil		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square. / [Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip.			Grannvale Empire	Alvis	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Eldigan (Lv1)	S1	fe003.png	5	3	2	Paladin	Male/Sword/Direct/Cavalry	Sword S / Lance B	Steel Sword	1		Sister: Lachesis / Child: Ares			[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square. / [Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Nordion	Eltshan	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Quan (Lv1)	S1	fe004.png	5	3	2	Duke Knight	Male/Lance/Direct/Cavalry	Lance S	Steel Lance	1		Child: Altena, Leif	Continue		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square. / [Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Leonster	Cuan	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Seliph (Lv1)	S1	fe005.png	5	2	1	Junior Lord	Male/Sword/Direct/Infantry	Sword S	Steel Sword	1		Father: Sigurd / Mother: Deirdre	Pursuit, Nihil		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square.			House Chalphy	Celice	<s><l>Initial Equipment</l><f>/ccg-2</f></s>
Julius (Lv1)	S1	fe006.png	5	3	2	Dark Prince	Male/Fire/Magic/Infantry	Fire A / Thunder A / Wind A / Dark S	Fire	1		Father: Arvis / Mother: Deirdre / Sister: Julia	Wrath, Nihil		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square.			Grannvale Empire	Yurius	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Travant (Lv1)	S1	fe007.png	6	3	2	Dragon Master	Male/Lance/Direct/Flying	Sword A / Lance S	Steel Lance	1		Child: Arion	Pursuit		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square. / [Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Thracia	Trabant	<s><l>Initial Equipment</l><f>/ccg-3</f></s>
Travant (Lv10)	S1	fe008.png	8	4	2	Dragon Master	Male/Lance/Direct/Flying	Sword A / Lance S	Silver Lance	2		Child: Arion	Pursuit, Nihil, Vantage		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square. / [Re-movement]: After an action, the unit can move again by spending 1 energy chip.			Kingdom of Thracia	Trabant	<s><l>Initial Equipment</l><f>/ccg-4</f></s>
Sigurd (Lv10)	S1	fe009.png	8	4	2	Knight Lord	Male/Sword/Direct/Cavalry	Sword S / Lance B	Silver Sword	2		Sister: Ethlyn / Child: Seliph	Pursuit		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square. / [Re-movement]: After an action, the unit can move again by spending 1 energy chip.			House Chalphy	Siglud	<s><l>Initial Equipment</l><f>/ccg-4</f></s>
Arvis (Lv10)	S1	fe010.png	8	4	2	Emperor	Male/Fire/Magic/Infantry	Fire S / Thunder A / Wind A	Elfire	2		Brother: Azelle / Child: Julia, Julius	Pavise, Nihil		[Seize]: You win the game when this unit enters an enemy sortie square. When this unit withdraws, all of your units retreat 1 square. / [Heavy Step]: Each time this unit moves 1 square, it consumes 1 energy chip.			Grannvale Empire	Alvis	<s><l>Initial Equipment</l><f>/ccg-4</f></s>
